City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
481,Trinidad,BO,87.17,clear sky,-14.8333,-64.9,Hotel Piesta
483,Marquette,US,83.77,scattered clouds,46.5333,-87.6335,Al Quaal Lodge
484,Mizdah,LY,74.25,scattered clouds,31.4451,12.9801,محمدالمبروك الاريقط
491,Bosaso,SO,88.5,overcast clouds,11.2842,49.1816,Red Sea Hotel
493,Freeport,US,76.57,scattered clouds,40.6576,-73.5832,The Freeport Inn and Marina
495,Latung,PH,81.88,overcast clouds,5.5,120.8833,
496,Dubai,AE,84.45,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
498,Voh,NC,70.14,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
499,Buba,GW,95.49,scattered clouds,11.5833,-15.0,Pousada Bela Vista
500,Kapoeta,SS,86.88,broken clouds,4.7717,33.5903,Eastgate Hotel
502,Hambantota,LK,79.65,light rain,6.1241,81.1185,Bungalow 63
503,Puebloviejo,CO,90.48,overcast clouds,10.9938,-74.2844,The Journey Hostel
504,Sutamarchan,CO,71.91,broken clouds,5.6154,-73.617,Posada San Esteban
505,Itatiaia,BR,75.33,scattered clouds,-22.4961,-44.5633,La Ponsa
510,Kahului,US,75.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
511,Becerril,CO,92.34,broken clouds,9.7041,-73.2793,Barrio El Carmen
512,Lumeje,AO,74.53,broken clouds,-11.55,20.7833,
515,Pizarro,CO,81.32,light rain,4.9533,-77.366,Hotel Limonar
516,Chitral,PK,71.38,clear sky,35.8462,71.7858,PTDC Motel Chitral
517,Mubi,NG,81.05,light rain,10.2676,13.2644,Hotel
518,Ouadda,CF,73.06,light rain,8.0777,22.4007,
519,Tarata,BO,73.08,clear sky,-17.6167,-66.0167,Hacienda castillo
520,Minab,IR,84.65,clear sky,27.1467,57.0801,Bam campground
521,Sao Felix Do Xingu,BR,90.95,broken clouds,-6.6447,-51.995,Rio Xingu Camping
524,Miri,MY,77.65,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
525,Tangwani,PK,98.69,clear sky,28.2787,68.9972,Malik Hafeez Markeet
526,Quatre Cocos,MU,73.51,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
529,Graulhet,FR,79.54,broken clouds,43.7669,1.9894,Hôtel Restaurant du Lac à Graulhet
530,Boffa,GN,87.51,overcast clouds,10.1667,-14.0333,Hôtel Niara Belly
533,Niquelandia,BR,92.77,few clouds,-14.4739,-48.4597,Hotel Suinã
534,Las Choapas,MX,91.31,scattered clouds,17.9333,-94.0833,Hotel Jysmak
542,Kouango,CF,82.38,broken clouds,4.9934,19.9619,
544,Mazamari,PE,85.1,broken clouds,-11.3258,-74.5308,Hospedaje Ratto
545,Nyaunglebin,MM,77.36,moderate rain,17.95,96.7333,Thi ha
546,Panaba,MX,91.62,clear sky,21.2833,-88.2667,Hotel California
548,Baiao,BR,85.08,scattered clouds,-2.7906,-49.6717,Hotel Eurosono
549,Buckeye,US,85.68,clear sky,33.3703,-112.5838,Buckeye Motor Hotel
551,Urubicha,BO,89.71,clear sky,-15.3833,-62.95,
552,Ceres,US,70.81,clear sky,37.5949,-120.9577,Howard Johnson by Wyndham Modesto Ceres
556,Dekalb,US,75.2,broken clouds,33.7504,-84.2333,"America's Best Inn Georgia, GA"
557,Bilma,NE,96.06,clear sky,18.6853,12.9164,Expeditions Ténére voyages
560,Alofi,NU,76.06,overcast clouds,-19.0595,-169.9187,Taloa Heights
562,Mlonggo,ID,80.74,overcast clouds,-6.5333,110.7,Asia Metal Art
564,Champerico,GT,86.04,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
566,Gigmoto,PH,80.58,few clouds,13.7796,124.39,Cj's Travellers Inn
567,Honiara,SB,77.25,few clouds,-9.4333,159.95,Heritage Park Hotel
568,Ahuimanu,US,75.36,light rain,21.4447,-157.8378,Paradise Bay Resort
570,Jambi,ID,74.75,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
571,Sambava,MG,77.38,few clouds,-14.2667,50.1667,Melrose
576,Providencia,MX,84.2,clear sky,28.7167,-111.5833,
577,Nunchia,CO,85.37,broken clouds,5.6406,-72.1986,La posada
578,Katherine,AU,70.12,overcast clouds,-14.4667,132.2667,Pine Tree Motel
581,Frumusita,RO,75.45,scattered clouds,45.6667,28.0667,
582,Kaputa,ZM,72.09,broken clouds,-8.4689,29.6619,Chelelwa Charlets
585,Hellin,ES,78.78,clear sky,38.5106,-1.701,Hotel Restaurante Reina Victoria
586,Sorada,IN,87.13,clear sky,19.75,84.4333,PWD Guest House
587,Pierre,US,70.72,clear sky,44.3683,-100.351,Ramkota Hotel
588,Tiquicheo,MX,95.76,overcast clouds,18.8833,-100.7333,Hotel Alcatraz
589,Hirara,JP,76.44,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
590,Rajampet,IN,84.31,overcast clouds,14.1833,79.1667,Maruthi Prasanna
591,Darmstadt,DE,72.16,overcast clouds,49.8333,8.6667,"Restaurant ""Darmstädter Hof"""
592,Isla Mujeres,MX,82.17,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
593,Bambanglipuro,ID,79.65,light rain,-7.95,110.2833,Puri Brata
